WARNING 2025-09-25 16:18:20,303 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:18:20,310 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-25 16:18:20,334 log 1093715 140548567856896 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-25 16:18:20,335 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-25 16:18:20,338 basehttp 1093715 140548567856896 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-25 16:18:20,343 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
INFO 2025-09-25 16:18:58,277 basehttp 1093715 140548529665792 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-09-25 16:18:58,279 basehttp 1093715 140548567856896 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
WARNING 2025-09-25 16:18:58,302 log 1093715 140548567856896 Not Found: /api/accounts/profile/
WARNING 2025-09-25 16:18:58,303 basehttp 1093715 140548567856896 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-25 16:18:58,368 log 1093715 140548529665792 Not Found: /api/accounts/profile/
WARNING 2025-09-25 16:18:58,371 basehttp 1093715 140548529665792 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 07:55:16,035 log 1093715 140548567856896 Not Found: /favicon.ico
WARNING 2025-09-26 07:55:16,127 basehttp 1093715 140548567856896 "GET /favicon.ico HTTP/1.1" 404 2929
INFO 2025-09-26 09:15:02,320 basehttp 1093715 140548567856896 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:04,552 basehttp 1093715 140548567856896 "POST /api/auth/login/ HTTP/1.1" 200 1123
INFO 2025-09-26 09:15:04,729 basehttp 1093715 140548567856896 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:04,733 basehttp 1093715 140548546451200 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:05,047 basehttp 1093715 140548546451200 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 09:15:05,048 basehttp 1093715 140548567856896 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
WARNING 2025-09-26 09:15:06,595 log 1093715 140548529665792 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 09:15:07,464 log 1093715 140548538058496 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 09:15:07,466 basehttp 1093715 140548538058496 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 09:15:07,469 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 09:15:07,789 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 09:15:07,791 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
WARNING 2025-09-26 09:15:07,812 log 1093715 140548567856896 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 09:15:07,815 basehttp 1093715 140548567856896 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 09:33:11,241 log 1093715 140548529665792 Not Found: /api/trips/dashboard/stats/
WARNING 2025-09-26 09:33:11,303 basehttp 1093715 140548529665792 "GET /api/trips/dashboard/stats/ HTTP/1.1" 404 7018
WARNING 2025-09-26 09:33:11,306 log 1093715 140548546451200 Not Found: /api/trips/dashboard/hos-status/
WARNING 2025-09-26 09:33:11,307 basehttp 1093715 140548546451200 "GET /api/trips/dashboard/hos-status/ HTTP/1.1" 404 7033
INFO 2025-09-26 17:55:49,279 basehttp 1093715 140548529665792 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-09-26 17:55:49,280 basehttp 1093715 140548546451200 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
WARNING 2025-09-26 17:55:50,059 log 1093715 140548546451200 Not Found: /api/accounts/profile/
WARNING 2025-09-26 17:55:50,060 basehttp 1093715 140548546451200 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
WARNING 2025-09-26 17:55:50,117 log 1093715 140548529665792 Not Found: /api/accounts/profile/
WARNING 2025-09-26 17:55:50,119 basehttp 1093715 140548529665792 "GET /api/accounts/profile/ HTTP/1.1" 404 4934
INFO 2025-09-26 18:41:15,671 basehttp 1093715 140548529665792 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:18,478 basehttp 1093715 140548529665792 "POST /api/auth/login/ HTTP/1.1" 200 1123
INFO 2025-09-26 18:41:21,230 basehttp 1093715 140548529665792 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:21,352 basehttp 1093715 140548529665792 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:21,353 basehttp 1093715 140548546451200 "OPTIONS /api/trips/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-09-26 18:41:21,409 basehttp 1093715 140548567856896 "OPTIONS /api/trips/dashboard/hos-status/ HTTP/1.1" 200 0
WARNING 2025-09-26 18:41:21,446 log 1093715 140548529665792 Not Found: /api/trips/dashboard/hos-status/
